﻿Info,UF,Município,Esfera,TipoDeFundo,ValorBruto,ValorLiquido
COVID19Fin,"AC","ACRELANDIA","SMS.Demais","Rotina","5383105,42","5345105,42"
COVID19Fin,"AC","ACRELANDIA","SMS.Demais","Covid19","1450615,4","1450615,4"
COVID19Fin,"AC","ASSIS BRASIL","SMS.Demais","Rotina","4509143,43","4509143,43"
COVID19Fin,"AC","ASSIS BRASIL","SMS.Demais","Covid19","1039378,69","1039378,69"
COVID19Fin,"AC","BRASILEIA","SMS.Demais","Rotina","9640032,1","9640032,1"
COVID19Fin,"AC","BRASILEIA","SMS.Demais","Covid19","4208839,76","4208839,76"
COVID19Fin,"AC","BUJARI","SMS.Demais","Rotina","5273907,58","5273907,58"
COVID19Fin,"AC","BUJARI","SMS.Demais","Covid19","1223066,78","1223066,78"
COVID19Fin,"AC","CAPIXABA","SMS.Demais","Rotina","4836286,28","4836286,28"
COVID19Fin,"AC","CAPIXABA","SMS.Demais","Covid19","1290605,23","1290605,23"
COVID19Fin,"AC","CRUZEIRO DO SUL","SMS.Demais","Covid19","9257266,62","9257266,62"
COVID19Fin,"AC","CRUZEIRO DO SUL","SMS.Demais","Rotina","39627129,52","39532129,52"
COVID19Fin,"AC","EPITACIOLANDIA","SMS.Demais","Rotina","6850724,46","6850724,46"
COVID19Fin,"AC","EPITACIOLANDIA","SMS.Demais","Covid19","1974717,91","1974717,91"
COVID19Fin,"AC","FEIJO","SMS.Demais","Rotina","9067782,51","9067782,51"
COVID19Fin,"AC","FEIJO","SMS.Demais","Covid19","2673982,92","2673982,92"
COVID19Fin,"AC","JORDAO","SMS.Demais","Rotina","3211792,34","3211792,34"
COVID19Fin,"AC","JORDAO","SMS.Demais","Covid19","944406,93","944406,93"
COVID19Fin,"AC","MANCIO LIMA","SMS.Demais","Rotina","10015030,46","9977030,46"
COVID19Fin,"AC","MANCIO LIMA","SMS.Demais","Covid19","1742197,03","1742197,03"
COVID19Fin,"AC","MANOEL URBANO","SMS.Demais","Rotina","4728047,55","4728047,55"
COVID19Fin,"AC","MANOEL URBANO","SMS.Demais","Covid19","996844,37","996844,37"
COVID19Fin,"AC","MARECHAL THAUMATURGO","SMS.Demais","Rotina","5092416,76","5092416,76"
COVID19Fin,"AC","MARECHAL THAUMATURGO","SMS.Demais","Covid19","1723990,47","1723990,47"
COVID19Fin,"AC","PLACIDO DE CASTRO","SMS.Demais","Rotina","7395998","7395998"
COVID19Fin,"AC","PLACIDO DE CASTRO","SMS.Demais","Covid19","2040380","2040380"
COVID19Fin,"AC","PORTO ACRE","SMS.Demais","Rotina","5879085,64","5879085,64"
COVID19Fin,"AC","PORTO ACRE","SMS.Demais","Covid19","1798668,18","1798668,18"
COVID19Fin,"AC","PORTO WALTER","SMS.Demais","Rotina","5320537,24","5320537,24"
COVID19Fin,"AC","PORTO WALTER","SMS.Demais","Covid19","1416720,68","1416720,68"
