﻿UF,Material,Quantidade,Data de Saída
AC,Avental,38,15/04/2020
AC,Avental,50,15/04/2020
AC,Avental,100,15/04/2020
AC,Avental,150,15/04/2020
AC,Avental,175,15/04/2020
AC,Avental,240,30/04/2020
AC,Avental,350,22/05/2020
AC,Avental,640,23/04/2020
AC,Avental,700,28/03/2020
AC,Avental,960,23/04/2020
AC,Avental,1000,15/04/2020
AC,Avental,1030,30/04/2020
AC,Avental,1550,14/05/2020
AC,Avental,2800,21/03/2020
AC,Avental,3700,14/05/2020
AC,Sapatilha e Touca,100,19/03/2020
AC,Sapatilha e Touca,100,28/03/2020
AC,Sapatilha e Touca,400,25/03/2020
AC,Sapatilha e Touca,400,31/03/2020
AC,Sapatilha e Touca,400,19/03/2021
AC,Sapatilha e Touca,1000,19/03/2020
AC,Sapatilha e Touca,1200,28/03/2020
AC,Sapatilha e Touca,1800,15/04/2020
AC,Sapatilha e Touca,1900,08/10/2020
AC,Sapatilha e Touca,2100,08/10/2020
AC,Sapatilha e Touca,2100,19/03/2021
AC,Sapatilha e Touca,2400,30/04/2020
AC,Sapatilha e Touca,4000,23/04/2020
AC,Sapatilha e Touca,4000,14/05/2020
AC,Sapatilha e Touca,4000,04/06/2020
AC,Sapatilha e Touca,4000,05/06/2020
AC,Sapatilha e Touca,4000,10/06/2020
AC,Sapatilha e Touca,6200,22/05/2020
AC,Sapatilha e Touca,6300,18/02/2021
AC,Sapatilha e Touca,13300,08/10/2020
AC,Sapatilha e Touca,50000,31/03/2020
AL,Avental,50,15/04/2020
AL,Avental,100,14/05/2020
AL,Avental,120,15/04/2020
AL,Avental,250,15/04/2020
AL,Avental,350,15/04/2020
AL,Avental,550,15/04/2020
AL,Avental,700,28/03/2020
AL,Avental,720,30/04/2020
AL,Avental,1065,22/05/2020
AL,Avental,1280,23/04/2020
AL,Avental,1600,23/04/2020
AL,Avental,1875,14/05/2020
AL,Avental,2240,23/04/2020
AL,Avental,2300,14/05/2020
AL,Avental,3230,30/04/2020
AL,Avental,4800,15/04/2020
AL,Avental,10000,14/05/2020
AL,Avental,10500,21/03/2020
AL,Sapatilha e Touca,100,19/03/2020
AL,Sapatilha e Touca,500,25/03/2020
AL,Sapatilha e Touca,500,28/03/2020
AL,Sapatilha e Touca,1000,19/03/2020
AL,Sapatilha e Touca,1300,24/03/2021
AL,Sapatilha e Touca,1600,31/03/2020
AL,Sapatilha e Touca,4000,23/04/2020
AL,Sapatilha e Touca,4000,05/06/2020
AL,Sapatilha e Touca,4000,10/06/2020
AL,Sapatilha e Touca,4600,28/03/2020
AL,Sapatilha e Touca,5900,15/04/2020
AL,Sapatilha e Touca,6200,24/03/2021
AL,Sapatilha e Touca,7600,30/04/2020
AL,Sapatilha e Touca,8000,14/05/2020
AL,Sapatilha e Touca,8600,08/10/2020
AL,Sapatilha e Touca,12000,04/06/2020
AL,Sapatilha e Touca,19000,22/05/2020
AL,Sapatilha e Touca,40000,08/10/2020
AL,Sapatilha e Touca,190000,31/03/2020
AM,Avental,100,29/04/2020
AM,Avental,158,15/04/2020
AM,Avental,200,15/04/2020
AM,Avental,300,14/05/2020
AM,Avental,700,28/03/2020
AM,Avental,725,15/04/2020
AM,Avental,1500,14/05/2020
AM,Avental,1630,22/05/2020
AM,Avental,2000,29/04/2020
AM,Avental,2050,29/04/2020
AM,Avental,2250,14/05/2020
AM,Avental,3000,14/05/2020
AM,Avental,3130,30/04/2020
AM,Avental,4400,30/04/2020
AM,Avental,6720,23/04/2020
AM,Avental,7000,15/04/2020
AM,Avental,8000,29/04/2020
AM,Avental,8950,29/04/2020
AM,Avental,9000,29/04/2020
AM,Avental,10000,29/04/2020
AM,Avental,10900,29/04/2020
AM,Avental,13300,21/03/2020
AM,Avental,16000,14/05/2020
AM,Avental,60000,11/05/2021
AM,Sapatilha e Touca,400,19/03/2020
AM,Sapatilha e Touca,500,25/03/2020
AM,Sapatilha e Touca,600,28/03/2020
AM,Sapatilha e Touca,1600,24/03/2021
AM,Sapatilha e Touca,2000,31/03/2020
AM,Sapatilha e Touca,3000,20/01/2021
AM,Sapatilha e Touca,4000,23/04/2020
AM,Sapatilha e Touca,4000,05/06/2020
AM,Sapatilha e Touca,4000,10/06/2020
AM,Sapatilha e Touca,4400,22/05/2020
AM,Sapatilha e Touca,5700,28/03/2020
AM,Sapatilha e Touca,6000,20/01/2021
AM,Sapatilha e Touca,7800,15/04/2020
AM,Sapatilha e Touca,10000,24/03/2021
AM,Sapatilha e Touca,10400,08/10/2020
AM,Sapatilha e Touca,11400,30/04/2020
AM,Sapatilha e Touca,16000,14/05/2020
AM,Sapatilha e Touca,16000,04/06/2020
AM,Sapatilha e Touca,24700,22/05/2020
AM,Sapatilha e Touca,30200,23/10/2020
AM,Sapatilha e Touca,64100,08/10/2020
AM,Sapatilha e Touca,80000,29/04/2020
AM,Sapatilha e Touca,165400,23/10/2020
AM,Sapatilha e Touca,240000,31/03/2020
AP,Avental,34,15/04/2020
AP,Avental,120,30/04/2020
AP,Avental,150,15/04/2020
AP,Avental,335,22/05/2020
AP,Avental,400,14/05/2020
AP,Avental,500,28/05/2020
AP,Avental,700,28/03/2020
AP,Avental,930,30/04/2020
AP,Avental,1125,14/05/2020
AP,Avental,1280,23/04/2020
AP,Avental,1500,15/04/2020
AP,Avental,2800,21/03/2020
AP,Avental,3700,14/05/2020
AP,Sapatilha e Touca,100,19/03/2020
AP,Sapatilha e Touca,100,28/03/2020
AP,Sapatilha e Touca,100,04/03/2021
AP,Sapatilha e Touca,400,24/03/2020
AP,Sapatilha e Touca,400,31/03/2020
AP,Sapatilha e Touca,700,24/03/2021
AP,Sapatilha e Touca,1000,19/03/2020
AP,Sapatilha e Touca,1200,28/03/2020
AP,Sapatilha e Touca,1700,15/04/2020
AP,Sapatilha e Touca,1700,24/03/2021
AP,Sapatilha e Touca,2000,14/05/2020
AP,Sapatilha e Touca,2200,30/04/2020
AP,Sapatilha e Touca,4000,23/04/2020
AP,Sapatilha e Touca,4000,04/06/2020
AP,Sapatilha e Touca,4000,05/06/2020
AP,Sapatilha e Touca,4000,10/06/2020
AP,Sapatilha e Touca,4500,08/10/2020
AP,Sapatilha e Touca,5900,22/05/2020
AP,Sapatilha e Touca,10800,08/10/2020
AP,Sapatilha e Touca,50000,31/03/2020
AP,Sapatilha e Touca,50000,28/05/2020
BA,Avental,380,18/09/2020
BA,Avental,539,15/04/2020
BA,Avental,600,14/05/2020
BA,Avental,2025,14/05/2020
BA,Avental,2475,15/04/2020
BA,Avental,3500,28/03/2020
BA,Avental,3600,30/04/2020
BA,Avental,5090,22/05/2020
BA,Avental,7050,15/04/2020
BA,Avental,8500,15/04/2020
BA,Avental,8900,15/04/2020
BA,Avental,8960,23/04/2020
BA,Avental,14400,23/04/2020
BA,Avental,14460,30/04/2020
BA,Avental,18900,14/05/2020
BA,Avental,49000,21/03/2020
BA,Avental,50000,14/05/2020
BA,Sapatilha e Touca,900,25/03/2020
BA,Sapatilha e Touca,1000,19/03/2020
BA,Sapatilha e Touca,1000,18/09/2020
BA,Sapatilha e Touca,1400,19/03/2020
BA,Sapatilha e Touca,2300,28/03/2020
BA,Sapatilha e Touca,3100,24/03/2021
BA,Sapatilha e Touca,4000,05/06/2020
BA,Sapatilha e Touca,4000,10/06/2020
BA,Sapatilha e Touca,4100,30/04/2020
BA,Sapatilha e Touca,6000,18/09/2020
BA,Sapatilha e Touca,7100,31/03/2020
BA,Sapatilha e Touca,10000,10/04/2020
BA,Sapatilha e Touca,12000,23/04/2020
BA,Sapatilha e Touca,19900,08/10/2020
BA,Sapatilha e Touca,20000,10/06/2020
BA,Sapatilha e Touca,20500,28/03/2020
BA,Sapatilha e Touca,26600,15/04/2020
BA,Sapatilha e Touca,30000,30/04/2020
BA,Sapatilha e Touca,33000,24/03/2021
BA,Sapatilha e Touca,56000,14/05/2020
BA,Sapatilha e Touca,64000,04/06/2020
BA,Sapatilha e Touca,90900,22/05/2020
BA,Sapatilha e Touca,212400,08/10/2020
BA,Sapatilha e Touca,840000,31/03/2020
CE,Avental,299,15/04/2020
CE,Avental,450,15/04/2020
CE,Avental,900,14/05/2020
CE,Avental,1375,15/04/2020
CE,Avental,1725,14/05/2020
CE,Avental,1920,30/04/2020
CE,Avental,2100,28/03/2020
CE,Avental,2930,22/05/2020
CE,Avental,3150,15/04/2020
CE,Avental,8010,30/04/2020
CE,Avental,9000,14/05/2020
CE,Avental,9950,15/04/2020
CE,Avental,12800,23/04/2020
CE,Avental,25000,14/05/2020
CE,Avental,30100,21/03/2020
CE,Sapatilha e Touca,700,25/03/2020
CE,Sapatilha e Touca,900,19/03/2020
CE,Sapatilha e Touca,1000,19/03/2020
CE,Sapatilha e Touca,1400,28/03/2020
CE,Sapatilha e Touca,4000,10/06/2020
CE,Sapatilha e Touca,4300,31/03/2020
