UF,Quantidade PCR,Quantidade teste rápido,Valor PCR,Valor teste rápido
AC,159724,77360,7892541,1547517
AL,222856,113220,10380500,2284334
AM,349804,181980,16639955,3671640
AP,362128,25240,16697915,508977
BA,1395320,543900,63673191,10971419
CE,1696304,369960,85903748,7464337
DF,436936,388040,20939824,7757407
Doação para o exterior,134848,0,6036183,0
ES,184528,222350,9098891,4480813
GO,206344,280760,10642365,5653058
MA,310076,261400,14855434,5266840
MG,1089304,2826920,49035404,51561393
MS,557688,114700,25848928,2290826
MT,325388,121320,14331367,2439826
Órgãos Federais,0,0,0,
PA,360492,286760,19964315,5783906
PB,379948,173660,17958477,3399170
PE,425072,336640,21991361,6792071
PI,314092,147780,14704243,2975499
PR,3813040,428200,183738459,8639390
RJ,3422552,1151905,169723459,23100504
RN,424240,179380,20040071,3605879
RO,282896,58560,13303096,1181510
RR,141496,28500,7580100,575017
RS,918572,518800,41808429,10466012
SC,645112,281940,33463701,5684449
SE,694760,176560,31053271,3257791
SP,4011876,2441260,204521855,48768619
TO,359512,60100,16972378,1212421
