regiao,estado,coduf,casosAcumulado,obitosAcumulado,area_territorial_2020[km²],populacao_estimada_2020,dens_demo_2010[hab/km2],IDH_2010,rendimento_domiciliar_mensal_2020,total_leitos,tx_analf,orcamento,Quantidade PCR,Quantidade teste rápido
Norte,RO,11,236103,5897,237765.347,1796460,6.58,0.69,1169,425,6.4,1504902309.5999992,282896,58560
Norte,AC,12,40277,526,164173.431,894470,4.47,0.663,917,170,11.7,858441281.5100001,159724,77360
Norte,AM,13,385562,12950,1559167.878,4207714,2.23,0.674,852,1188,5.4,2888882061.21,349804,181980
Norte,RR,14,18328,308,223644.527,631181,2.01,0.707,983,89,5.0,603767635.32,141496,28500
Norte,PA,15,421802,9909,1245870.707,8690745,6.07,0.646,883,854,8.4,5612037097.700003,360492,286760
Norte,AP,16,91636,1669,142470.762,861773,4.69,0.708,893,117,5.5,759316720.7299999,362128,25240
Norte,TO,17,143605,2433,277423.63,1590248,4.98,0.699,1060,509,9.7,1775254207.8100004,359512,60100
Nordeste,MA,21,285215,8350,329651.495,7114598,19.81,0.639,676,939,15.6,5747254518.570001,310076,261400
Nordeste,PI,22,286695,6348,251755.485,3281480,12.4,0.646,859,1010,16.0,3525397521.519999,314092,147780
Nordeste,CE,23,820824,21291,148894.442,9187103,56.76,0.682,1028,2527,13.6,8208665654.31,1696304,369960
Nordeste,RN,24,286043,5821,52809.601,3534165,59.99,0.684,1077,853,13.4,3141961528.9500065,424240,179380
Nordeste,PB,25,357789,7941,56467.242,4039277,66.7,0.658,892,782,16.1,3957373098.050002,379948,173660
Nordeste,PE,26,529512,17091,98067.88,9616621,89.62,0.673,897,2945,11.9,8344365083.7300005,425072,336640
Nordeste,AL,27,203327,5032,27830.656,3351543,112.33,0.631,796,814,17.1,3386543089.91,222856,113220
Nordeste,SE,28,260582,5588,21938.184,2318822,94.36,0.665,1028,591,13.5,2068916028.1200004,694760,176560
Nordeste,BA,29,1071513,22782,564760.427,14930634,24.82,0.66,965,3495,12.9,12091181987.690004,1395320,543900
Sudeste,MG,31,1759492,45070,586513.993,21292666,33.41,0.731,1314,6258,5.5,18805227362.93001,1089304,2826920
Sudeste,ES,32,504494,11083,46074.447,4064052,76.25,0.74,1347,2410,5.3,3244035381.740001,184528,222350
Sudeste,RJ,33,946987,55101,43750.426,17366189,365.23,0.761,1723,3544,2.1,12038564959.410002,3422552,1151905
Sudeste,SP,35,3614506,123647,248219.481,46289333,166.23,0.783,1814,15814,2.6,31246979058.489998,4011876,2441260
Sul,PR,41,1215711,29310,199298.982,11516840,52.4,0.749,1508,4874,4.6,9624700673.239973,3813040,428200
Sul,SC,42,1040519,16633,95730.684,7252502,65.27,0.774,1632,3057,2.3,6080913319.100003,645112,281940
Sul,RS,43,1209799,31117,281707.149,11422973,37.96,0.746,1759,5282,2.6,9840984658.899998,918572,518800
Centro-Oeste,MS,50,330815,8056,357147.994,2809394,6.86,0.729,1488,966,5.1,2662763721.9800005,557688,114700
Centro-Oeste,MT,51,445653,11722,903207.05,3526220,3.36,0.725,1401,1582,6.2,2886225576.119999,325388,121320
Centro-Oeste,GO,52,671057,18988,340242.854,7113540,17.65,0.735,1258,2417,5.1,5704352831.730001,206344,280760
Centro-Oeste,DF,53,428352,9193,5760.784,3055149,444.66,0.824,2475,710,2.7,1793207997.62,436936,388040
