regiao,estado,municipio,coduf,data,semanaEpi,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos
Norte,RO,Alta Floresta D'Oeste,11,2021-06-27,26,3884,0,65,0
Norte,RO,Ariquemes,11,2021-06-27,26,21503,1,461,0
Norte,RO,Cabixi,11,2021-06-27,26,816,0,20,0
Norte,RO,Cacoal,11,2021-06-27,26,13452,0,277,0
Norte,RO,Cerejeiras,11,2021-06-27,26,2420,3,60,0
Norte,RO,Colorado do Oeste,11,2021-06-27,26,2171,0,38,0
Norte,RO,Corumbiara,11,2021-06-27,26,775,4,18,0
Norte,RO,Costa Marques,11,2021-06-27,26,1648,0,31,0
Norte,RO,Espigão D'Oeste,11,2021-06-27,26,3236,1,60,0
Norte,RO,Guajará-Mirim,11,2021-06-27,26,5374,0,223,0
Norte,RO,Jaru,11,2021-06-27,26,7357,4,162,0
Norte,RO,Ji-Paraná,11,2021-06-27,26,18164,82,538,0
Norte,RO,Machadinho D'Oeste,11,2021-06-27,26,6535,1,106,1
Norte,RO,Nova Brasilândia D'Oeste,11,2021-06-27,26,1846,5,27,0
Norte,RO,Ouro Preto do Oeste,11,2021-06-27,26,4482,0,134,0
Norte,RO,Pimenta Bueno,11,2021-06-27,26,6086,0,104,0
Norte,RO,Porto Velho,11,2021-06-27,26,82647,82,2430,0
Nordeste,MA,Presidente Médici,21,2021-06-27,26,349,0,2,0
Norte,RO,Rio Crespo,11,2021-06-27,26,581,0,12,0
Norte,RO,Rolim de Moura,11,2021-06-27,26,6329,0,162,0
Norte,RO,Santa Luzia D'Oeste,11,2021-06-27,26,924,0,17,0
Norte,RO,Vilhena,11,2021-06-27,26,13075,0,253,0
Norte,RO,São Miguel do Guaporé,11,2021-06-27,26,2321,0,47,0
Norte,RO,Nova Mamoré,11,2021-06-27,26,3458,0,76,0
Norte,RO,Alvorada D'Oeste,11,2021-06-27,26,1093,0,29,0
Norte,RO,Alto Alegre dos Parecis,11,2021-06-27,26,1444,0,44,0
Sul,PR,Alto Paraíso,41,2021-06-27,26,264,1,5,0
Sudeste,MG,Buritis,31,2021-06-27,26,1719,0,36,0
Norte,RO,Novo Horizonte do Oeste,11,2021-06-27,26,624,0,22,0
Norte,RO,Cacaulândia,11,2021-06-27,26,814,0,10,0
Norte,RO,Campo Novo de Rondônia,11,2021-06-27,26,1161,0,22,0
Norte,RO,Candeias do Jamari,11,2021-06-27,26,3813,2,76,0
Norte,RO,Castanheiras,11,2021-06-27,26,262,0,6,0
Norte,RO,Chupinguaia,11,2021-06-27,26,1378,0,19,0
Norte,RO,Cujubim,11,2021-06-27,26,1887,0,38,0
Norte,RO,Governador Jorge Teixeira,11,2021-06-27,26,608,0,21,0
Norte,RO,Itapuã do Oeste,11,2021-06-27,26,1365,0,18,0
Norte,RO,Ministro Andreazza,11,2021-06-27,26,498,0,14,0
Norte,RO,Mirante da Serra,11,2021-06-27,26,1006,1,12,0
Norte,RO,Monte Negro,11,2021-06-27,26,1687,0,30,0
Sudeste,MG,Nova União,31,2021-06-27,26,279,0,5,0
Norte,RO,Parecis,11,2021-06-27,26,386,0,11,0
Norte,RO,Pimenteiras do Oeste,11,2021-06-27,26,428,0,15,0
Norte,RO,Primavera de Rondônia,11,2021-06-27,26,173,0,7,0
Norte,RO,São Felipe D'Oeste,11,2021-06-27,26,481,0,9,0
Norte,RO,São Francisco do Guaporé,11,2021-06-27,26,2154,0,44,0
Norte,RO,Seringueiras,11,2021-06-27,26,1356,3,18,0
Norte,RO,Teixeirópolis,11,2021-06-27,26,521,0,8,0
Norte,RO,Theobroma,11,2021-06-27,26,775,0,25,0
Norte,RO,Urupá,11,2021-06-27,26,1194,1,32,0
Norte,RO,Vale do Anari,11,2021-06-27,26,1145,0,21,0
Norte,RO,Vale do Paraíso,11,2021-06-27,26,766,0,25,0
Norte,AC,Acrelândia,12,2021-06-27,26,1682,31,36,0
Norte,AC,Assis Brasil,12,2021-06-27,26,1763,3,24,0
Norte,AC,Brasiléia,12,2021-06-27,26,2888,0,38,0
Norte,AC,Bujari,12,2021-06-27,26,1136,0,17,0
Norte,AC,Capixaba,12,2021-06-27,26,655,1,17,0
Sul,RS,Cruzeiro do Sul,43,2021-06-27,26,1248,0,36,0
Norte,AC,Epitaciolândia,12,2021-06-27,26,1463,0,32,0
Norte,AC,Feijó,12,2021-06-27,26,3208,9,59,0
Norte,AC,Jordão,12,2021-06-27,26,708,0,2,0
Norte,AC,Mâncio Lima,12,2021-06-27,26,2621,0,29,0
Norte,AC,Manoel Urbano,12,2021-06-27,26,903,0,14,0
Norte,AC,Marechal Thaumaturgo,12,2021-06-27,26,1259,0,11,0
Norte,AC,Plácido de Castro,12,2021-06-27,26,1742,2,18,0
Norte,AC,Porto Walter,12,2021-06-27,26,543,0,4,0
Centro-Oeste,MT,Rio Branco,51,2021-06-27,26,690,0,17,1
Norte,AC,Rodrigues Alves,12,2021-06-27,26,847,2,12,0
Norte,AC,Santa Rosa do Purus,12,2021-06-27,26,978,0,7,0
Norte,AC,Senador Guiomard,12,2021-06-27,26,1174,0,42,0
Norte,AC,Sena Madureira,12,2021-06-27,26,5787,1,64,0
Norte,AC,Tarauacá,12,2021-06-27,26,6422,4,36,0
Norte,AC,Xapuri,12,2021-06-27,26,2985,0,28,0
Norte,AC,Porto Acre,12,2021-06-27,26,1513,0,36,0
Norte,AM,Alvarães,13,2021-06-27,26,2860,2,46,0
Norte,AM,Amaturá,13,2021-06-27,26,2354,0,17,0
Norte,AM,Anamã,13,2021-06-27,26,1781,1,9,0
Norte,AM,Anori,13,2021-06-27,26,1887,0,31,0
Norte,AM,Apuí,13,2021-06-27,26,1373,0,31,0
Norte,AM,Atalaia do Norte,13,2021-06-27,26,2795,0,9,0
Norte,AM,Autazes,13,2021-06-27,26,2867,0,95,0
Norte,AM,Barcelos,13,2021-06-27,26,4322,0,59,0
Norte,AM,Barreirinha,13,2021-06-27,26,2420,1,62,0
Norte,AM,Benjamin Constant,13,2021-06-27,26,2694,0,87,0
Norte,AM,Beruri,13,2021-06-27,26,2231,2,34,0
Norte,AM,Boa Vista do Ramos,13,2021-06-27,26,957,0,11,0
Norte,AM,Boca do Acre,13,2021-06-27,26,2631,2,26,0
Norte,AM,Borba,13,2021-06-27,26,2196,1,65,0
Norte,AM,Caapiranga,13,2021-06-27,26,668,0,22,0
Norte,AM,Canutama,13,2021-06-27,26,1342,0,8,0
Norte,AM,Carauari,13,2021-06-27,26,6654,0,55,0
Norte,AM,Careiro,13,2021-06-27,26,4300,0,85,0
Norte,AM,Careiro da Várzea,13,2021-06-27,26,996,0,25,0
Norte,AM,Coari,13,2021-06-27,26,9340,4,230,0
Norte,AM,Codajás,13,2021-06-27,26,2436,0,22,0
Norte,AM,Eirunepé,13,2021-06-27,26,4204,0,28,0
Norte,AM,Envira,13,2021-06-27,26,2675,0,11,0
Norte,AM,Fonte Boa,13,2021-06-27,26,1599,0,39,1
Norte,AM,Guajará,13,2021-06-27,26,1682,0,26,0
Sul,RS,Humaitá,43,2021-06-27,26,237,0,5,0
Norte,AM,Ipixuna,13,2021-06-27,26,5320,36,19,0
Norte,AM,Iranduba,13,2021-06-27,26,8740,6,161,0
Norte,AM,Itacoatiara,13,2021-06-27,26,9256,9,312,0
Norte,AM,Itamarati,13,2021-06-27,26,961,0,9,0
Sul,SC,Itapiranga,42,2021-06-27,26,2081,0,14,0
Sul,PR,Japurá,41,2021-06-27,26,1007,17,12,0
Norte,AM,Juruá,13,2021-06-27,26,978,0,15,0
Norte,AM,Jutaí,13,2021-06-27,26,2481,0,34,0
Norte,AM,Lábrea,13,2021-06-27,26,6944,4,77,0
Norte,AM,Manacapuru,13,2021-06-27,26,9414,12,377,1
Norte,AM,Manaquiri,13,2021-06-27,26,1542,19,46,0
Norte,AM,Manaus,13,2021-06-27,26,186096,130,9134,2
Norte,AM,Manicoré,13,2021-06-27,26,4677,0,102,0
Norte,AM,Maraã,13,2021-06-27,26,2278,1,23,0
Norte,AM,Maués,13,2021-06-27,26,4834,5,129,0
Norte,AM,Nhamundá,13,2021-06-27,26,1865,0,34,0
Norte,AM,Nova Olinda do Norte,13,2021-06-27,26,2626,0,67,0
Norte,AM,Novo Airão,13,2021-06-27,26,2344,0,33,0
Norte,AM,Novo Aripuanã,13,2021-06-27,26,1993,0,30,0
Norte,AM,Parintins,13,2021-06-27,26,9958,1,354,0
Norte,AM,Pauini,13,2021-06-27,26,2758,0,22,0
Norte,AM,Presidente Figueiredo,13,2021-06-27,26,6093,7,96,0
Norte,AM,Rio Preto da Eva,13,2021-06-27,26,4504,0,72,0
Norte,AM,Santa Isabel do Rio Negro,13,2021-06-27,26,2744,0,53,0
Norte,AM,Santo Antônio do Içá,13,2021-06-27,26,1850,0,44,0
Norte,AM,São Gabriel da Cachoeira,13,2021-06-27,26,8096,0,108,0
Norte,AM,São Paulo de Olivença,13,2021-06-27,26,5255,0,66,0
Norte,AM,São Sebastião do Uatumã,13,2021-06-27,26,1537,0,18,0
Norte,AM,Silves,13,2021-06-27,26,1375,0,22,0
Sudeste,SP,Tabatinga,35,2021-06-27,26,1803,0,48,0
Norte,AM,Tapauá,13,2021-06-27,26,1819,0,22,0
Norte,AM,Tefé,13,2021-06-27,26,9635,1,195,0
Norte,AM,Tonantins,13,2021-06-27,26,1330,0,33,0
Norte,AM,Uarini,13,2021-06-27,26,1952,0,25,0
Norte,AM,Urucará,13,2021-06-27,26,2433,0,51,0
Norte,AM,Urucurituba,13,2021-06-27,26,2610,0,34,0
Norte,RR,Amajari,14,2021-06-27,26,1023,1,20,0
Sul,RS,Alto Alegre,43,2021-06-27,26,197,0,1,0
Nordeste,PB,Boa Vista,25,2021-06-27,26,769,2,14,1
Sudeste,MG,Bonfim,31,2021-06-27,26,397,0,14,0
Norte,RR,Cantá,14,2021-06-27,26,2162,1,31,0
Norte,RR,Caracaraí,14,2021-06-27,26,2461,2,51,0
Norte,RR,Caroebe,14,2021-06-27,26,1873,0,19,0
Nordeste,CE,Iracema,23,2021-06-27,26,2389,5,32,0
Norte,RR,Mucajaí,14,2021-06-27,26,2107,1,38,0
Norte,RR,Normandia,14,2021-06-27,26,480,2,26,0
Norte,RR,Pacaraima,14,2021-06-27,26,2186,2,34,0
Norte,RR,Rorainópolis,14,2021-06-27,26,2946,0,59,0
Norte,RR,São João da Baliza,14,2021-06-27,26,1353,0,9,0
Norte,RR,São Luiz,14,2021-06-27,26,585,1,11,0
Norte,RR,Uiramutã,14,2021-06-27,26,1152,0,10,0
Norte,PA,Abaetetuba,15,2021-06-27,26,8882,1,219,0
Norte,PA,Abel Figueiredo,15,2021-06-27,26,969,0,10,0
Norte,PA,Acará,15,2021-06-27,26,1317,1,31,1
Norte,PA,Afuá,15,2021-06-27,26,2988,0,16,0
Norte,PA,Água Azul do Norte,15,2021-06-27,26,1226,0,15,0
Norte,PA,Alenquer,15,2021-06-27,26,3454,0,130,0
Norte,PA,Almeirim,15,2021-06-27,26,3664,0,44,1
Norte,PA,Altamira,15,2021-06-27,26,13525,0,285,0
Norte,PA,Anajás,15,2021-06-27,26,1356,0,22,0
Norte,PA,Ananindeua,15,2021-06-27,26,24132,6,802,0
Norte,PA,Anapu,15,2021-06-27,26,1595,0,38,0
Norte,PA,Augusto Corrêa,15,2021-06-27,26,1996,0,44,0
Norte,PA,Aurora do Pará,15,2021-06-27,26,1533,0,14,0
Norte,PA,Aveiro,15,2021-06-27,26,642,10,12,0
Norte,PA,Bagre,15,2021-06-27,26,911,0,12,0
Norte,PA,Baião,15,2021-06-27,26,742,1,34,0
Norte,PA,Bannach,15,2021-06-27,26,647,5,3,0
Norte,PA,Barcarena,15,2021-06-27,26,11160,0,215,0
Nordeste,AL,Belém,27,2021-06-27,26,119,0,7,1
Norte,PA,Belterra,15,2021-06-27,26,1454,0,26,0
Norte,PA,Benevides,15,2021-06-27,26,3882,5,101,0
Norte,TO,Bom Jesus do Tocantins,17,2021-06-27,26,135,0,3,0
Centro-Oeste,MS,Bonito,50,2021-06-27,26,2966,4,62,0
Norte,PA,Bragança,15,2021-06-27,26,4129,3,143,0
